0   51   21   19
1   56   20   17
2   2   0   0
3   201   78   75
4   57   20   21
5   52   20   21
6   125   50   48
7   2   0   0
8   38   16   15
9   137   53   58
10   4   1   1
11   266   102   97
12   55   21   22
13   7   2   1
14   4   1   1
15   91   33   33
16   239   93   96
17   2   0   0
18   2   0   0
19   36   13   12
20   159   53   52
21   181   74   72
22   57   24   25
23   343   134   140
24   174   72   71
25   2   0   0
26   353   134   129
27   2   0   0
28   326   129   121
29   2   0   0
30   64   25   24
31   184   69   67
32   62   26   23
33   2   0   0
34   2   0   0
35   45   18   18
36   49   20   20
37   40   15   15
38   35   13   12
39   91   33   31
40   157   67   61
41   225   88   91
42   199   72   72
43   344   130   126
44   31   12   8
45   59   18   20
46   2   0   0
47   168   68   64
48   423   163   156
49   66   19   24
50   68   20   22
51   2   0   0
52   39   18   14
53   2   0   0
54   2   0   0
55   69   28   26
56   2   0   0
57   45   18   17
58   27   11   11
59   160   64   63
60   245   91   89
61   68   25   22
62   51   15   18
63   319   123   123
64   2   0   0
65   258   99   104
66   49   19   18
67   38   15   16
68   77   27   27
69   16   4   6
70   241   89   90
71   86   32   35
72   62   25   23
73   150   55   59
74   2   0   0
75   323   114   124
76   40   12   12
77   23   7   8
78   76   28   29
79   61   22   23
80   8   4   2
81   2   0   0
82   50   18   16
83   305   113   116
84   65   24   24
85   38   14   12
86   2   0   0
87   59   25   25
88   26   9   8
89   105   44   41
90   4   1   1
91   2   0   0
92   105   34   34
93   34   12   11
94   76   30   28
95   2   0   0
96   86   35   32
97   198   69   70
98   7   3   2
99   54   20   21
