0   51   21
1   56   20
2   2   0
3   201   78
4   57   20
5   52   20
6   125   50
7   2   0
8   38   16
9   137   53
10   4   1
11   266   102
12   55   21
13   7   2
14   4   1
15   91   33
16   239   93
17   2   0
18   2   0
19   36   13
20   159   53
21   181   74
22   57   24
23   343   134
24   174   72
25   2   0
26   353   134
27   2   0
28   326   129
29   2   0
30   64   25
31   184   69
32   62   26
33   2   0
34   2   0
35   45   18
36   49   20
37   40   15
38   35   13
39   91   33
40   157   67
41   225   88
42   199   72
43   344   130
44   31   12
45   59   18
46   2   0
47   168   68
48   423   163
49   66   19
50   68   20
51   2   0
52   39   18
53   2   0
54   2   0
55   69   28
56   2   0
57   45   18
58   27   11
59   160   64
60   245   91
61   68   25
62   51   15
63   319   123
64   2   0
65   258   99
66   49   19
67   38   15
68   77   27
69   16   4
70   241   89
71   86   32
72   62   25
73   150   55
74   2   0
75   323   114
76   40   12
77   23   7
78   76   28
79   61   22
80   8   4
81   2   0
82   50   18
83   305   113
84   65   24
85   38   14
86   2   0
87   59   25
88   26   9
89   105   44
90   4   1
91   2   0
92   105   34
93   34   12
94   76   30
95   2   0
96   86   35
97   198   69
98   7   3
99   54   20
