0   3   1
1   11   3
2   2   0
3   21   8
4   24   11
5   2   0
6   2   0
7   48   22
8   54   22
9   40   16
10   63   27
11   71   25
12   44   16
13   2   0
14   2   0
15   54   23
16   11   4
17   48   19
18   2   0
19   25   6
20   2   0
21   60   24
22   51   21
23   74   26
24   150   57
25   2   0
26   2   0
27   56   20
28   2   0
29   73   28
30   98   41
31   11   5
32   74   32
33   24   11
34   88   35
35   48   16
36   47   20
37   2   0
38   60   21
39   131   48
40   56   25
41   120   49
42   36   14
43   90   32
44   100   38
45   68   29
46   57   19
47   4   1
48   2   0
49   49   19
50   301   123
51   2   0
52   107   39
53   15   7
54   201   78
55   95   38
56   57   20
57   124   45
58   52   20
59   29   11
60   78   29
61   52   18
62   2   0
63   36   16
64   2   0
65   49   19
66   174   66
67   141   55
68   2   0
69   366   148
70   56   21
71   2   0
72   2   0
73   294   114
74   152   58
75   2   0
76   22   11
77   11   5
78   2   0
79   36   12
80   2   0
81   364   147
82   345   128
83   42   14
84   2   0
85   235   91
86   2   0
87   2   0
88   125   50
89   2   0
90   38   16
91   55   21
92   164   62
93   236   86
94   59   22
95   13   4
96   2   0
97   2   0
98   264   104
99   2   0
100   137   53
101   4   1
102   148   53
103   72   28
104   77   31
105   224   89
106   206   85
107   60   25
108   225   84
109   207   81
110   2   0
111   105   37
112   207   70
113   53   22
114   2   0
115   12   5
116   55   22
117   2   0
118   561   216
119   119   40
120   2   0
121   141   51
122   2   0
123   266   102
124   71   26
125   55   21
126   7   2
127   4   1
128   149   57
129   378   137
130   101   39
131   91   33
132   475   180
133   73   30
134   2   0
135   53   21
136   2   0
137   76   30
138   2   0
139   2   0
140   220   81
141   36   12
142   14   4
143   2   0
144   370   137
145   148   53
146   2   0
147   49   18
148   45   18
149   59   23
150   41   15
151   53   20
152   2   0
153   2   0
154   239   93
155   62   18
156   2   0
157   2   0
158   36   13
159   39   15
160   2   0
161   152   62
162   48   16
163   2   0
164   131   54
165   82   31
166   22   7
